"id","label","size","color","x","y","z"
1,"Serving patients in everything we do, from finance to R&D<br>to logistics to warehousing, to sales and to customer<br>service.",0.0147785436244892,"#FB9A99",0.174816610812593,0.628594335557401,0.401591445487862
2,"I would start from survey in different patient groups<br>(oncology, multiple sclerosis, etc.) to find out their<br>needs. Make a swot analys of the company in that field.<br>try to find out how patient organizations realize their<br>projects.",0.0123612182432894,"#1F78B4",-0.13148393494913,-0.0585364962588873,-0.562860802274197
3,"Key for Orphan Drugs company - despite a lot of companies<br>are using patients / patient groups only to lobby",0.0150196186208147,"#6A3D9A",-0.210617535634866,-0.270036310259941,-0.435015617207137
4,"Improving quality of life for the patient",0.0180662742790085,"#CAB2D6",-0.211756259872804,0.0958756344122675,0.301761693609687
5,"Partnering with HCP's to improve patient outcomes.",0.0165430328521877,"#CAB2D6",-0.184085289870951,0.134785827983528,0.306598940426911
6,"Focus on patient's requirements with a view to meet them<br>and delight the patients.",0.0160340555797799,"#33A02C",0.0880041552468112,0.0648759291549582,-0.131334468426056
7,"Actively involving patients in the drug development<br>process.",0.0214437394200151,"#1F78B4",-0.162940078875749,-0.153228139527023,-0.692456605144747
8,"Thinking about the patient in everything we do, learning<br>how to meet their needs.",0.012548486992114,"#B15928",0.295282185919648,-0.330906185340096,-0.296835386407731
9,"The patient is our true customer, being patient-centric<br>is being customer-centric.  Therefore patient centricity<br>is doing one's best to create the best experience for<br>patients whenever they encounter a product, service or<br>person from our company.",0.012689090147394,"#CAB2D6",-0.223813399593953,0.223590283456619,0.561898745707914
10,"Never stop finding ways cover patient' s real needs",0.019167244139431,"#1F78B4",0.0470834776063452,-0.0732107313952196,-0.483766478934728
11,"Evolving and emerging",0.00333333333333333,"#33A02C",0.0561769054958982,0.20933444107666,-0.0819052993074956
12,"i let you find the right definition... that's your job :)",0.0137170509380665,"#33A02C",-0.007219321910276,0.143246660130394,-0.108069509978577
13,"Changing all business processes in a way that considers<br>patients needs and preferences",0.0200343784078901,"#1F78B4",0.178760281017511,0.0938272972783475,-0.74646729029115
14,"The $ ""question of truth"": will your company develop a<br>product (indication) if it addresses a definite unmet<br>medical need but ROI is definitely negative",0.0124378217449165,"#FF7F00",-0.347728509186519,-0.701793308556589,-0.414214335806309
15,"HCP is a necessity because, the challenge is not just<br>have hapy patients we wan very happy patients, because<br>then we have loyalty patient with us.  This ensure our<br>future sales.",0.00754316252532197,"#FB9A99",0.0652515280837737,0.397419734881706,0.248567998563209
16,"Developing drugs and patient programs that are deeply<br>rooted in patient needs and adapted to cultural<br>viewpoints in order to drive compliance, thus greater<br>outcomes.",0.014454102847739,"#6A3D9A",-0.228106589267641,-0.303298174096313,-0.365101411846829
17,"to put the patient in the center and try to define all<br>other process in this new way",0.0122716202950493,"#1F78B4",0.597447013586696,0.110132127325545,-0.557113407785544
18,"I don't have any idea now.",0.0173380694837056,"#33A02C",0.078259618348108,0.246487850126194,-0.168121426058303
19,"Actions that lead to better patient outcomes",0.0163372520659611,"#CAB2D6",-0.268073006145545,0.0479171343228217,0.311325581410505
20,"going to the patients and see how they use the product to<br>better understand their needs.",0.0150232029353719,"#B2DF8A",-0.27112923471553,-0.439779446728911,0.049709056435241
21,"Patient centricity is achieve when every decision and<br>action taken is related and driven by patient's outcomes.",0.0188982359166299,"#FFFF99",-0.0491522515006761,0.372302382760277,0.0797349324302131
22,"Building processes and procedures that incorporate<br>patient input at every step.",0.020900357347664,"#1F78B4",0.0308552679677141,0.189909620000386,-0.33884239596557
23,"Focusing on needs of people with conditions and their<br>families and working with them on developing and<br>delivering products and services to improve their lives",0.0180358365413589,"#E31A1C",-0.366201031225647,-0.437236067829125,0.192326061265978
24,"increase decisión power of the patient. Give tools and<br>education to the patients so they can demand to HCP on a<br>concrete solution ( pharma) or directly take their own<br>decisions ( OTC products). They demand because they<br>understand and the company focus on their needs, offer<br>services, education, diagnosis tools, home services ...",0.0131176779882869,"#E31A1C",-0.397411333206368,-0.393796488467008,0.285203564978851
25,"Patient centricity means putting the best interests of<br>the patient first, providing interventions based on their<br>values and goals, and training and equipping all patient<br>partners in a patient-centered approach, including<br>sponsors, staff, family members etc.",0.0165884725433916,"#FB9A99",0.220399858393503,0.179072282719754,0.25740184304586
26,"patient is the king for pharma and biomedical",0.00952771751082653,"#33A02C",0.0303055898343099,0.229199695789055,-0.0676350711282085
27,"medical need starts with a patient and opens up a market<br>and that should be the focus.",0.0125818635914213,"#6A3D9A",-0.128093457657709,-0.165198846518945,-0.541601175184397
28,"Patient as the owner of his health status/data and<br>provide all kind of services around him, so he can decide<br>what to do by himself. So patient became the main actor<br>of health film.",0.0104837256178727,"#E31A1C",-0.287557846911543,-0.0595925377872047,0.514733961736101
29,"I would suggest that the actions, campaigns we are doing<br>not only have to reinforce the better outcomes in the<br>treatment regimens and also to comply with the<br>socioeconomic status of the patients.",0.0088226116267085,"#CAB2D6",-0.268597564978152,0.0232888277212103,0.361594201647905
30,"It means that patient is really in the center of all<br>activieties - we are doing everything to make our<br>products serve patients' health.",0.0132195391310532,"#33A02C",0.102773931506985,0.295645786533579,-0.249508994167729
31,"putting the patient as the focus rather than the product",0.0165291244578237,"#B15928",0.460184049665235,-0.239078613327609,0.130540509810402
